"filename", "language", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardData.js", "JavaScript", 194, 0, 0, 0, 1, 10, 205
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardHome.css", "CSS", 0, 39, 0, 0, 0, 4, 43
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardHome.jsx", "JavaScript", 21, 0, 0, 0, 0, 3, 24
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardLayout.css", "CSS", 0, 24, 0, 0, 3, 5, 32
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardLayout.jsx", "JavaScript", 46, 0, 0, 0, 24, 13, 83
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\Exams.jsx", "JavaScript", 64, 0, 0, 0, 1, 10, 75
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\StudentExamDetails.jsx", "JavaScript", 81, 0, 0, 0, 3, 12, 96
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam.jsx", "JavaScript", 182, 0, 0, 0, 9, 23, 214
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Error.jsx", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\FinishScreen.jsx", "JavaScript", 51, 0, 0, 0, 2, 9, 62
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Footer.jsx", "JavaScript", 4, 0, 0, 0, 1, 2, 7
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Header.jsx", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Main.jsx", "JavaScript", 4, 0, 0, 0, 1, 2, 7
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\NextButton.jsx", "JavaScript", 22, 0, 0, 0, 1, 4, 27
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Options.jsx", "JavaScript", 30, 0, 0, 0, 1, 3, 34
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Progress.jsx", "JavaScript", 23, 0, 0, 0, 1, 3, 27
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Question.jsx", "JavaScript", 14, 0, 0, 0, 1, 3, 18
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\StartScreen.jsx", "JavaScript", 21, 0, 0, 0, 1, 2, 24
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Timer.jsx", "JavaScript", 19, 0, 0, 0, 3, 6, 28
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Flashcards.jsx", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Reports.jsx", "JavaScript", 86, 0, 0, 0, 12, 11, 109
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\StudentProfile.jsx", "JavaScript", 180, 0, 0, 0, 4, 13, 197
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\StudentTimetable.jsx", "JavaScript", 84, 0, 0, 0, 0, 10, 94
"c:\Dev\gateway-web-app\Client\src\comps\Navigation.jsx", "JavaScript", 177, 0, 0, 0, 4, 9, 190
"c:\Dev\gateway-web-app\Client\src\comps\NewsSection\NewsSection.css", "CSS", 0, 125, 0, 0, 7, 20, 152
"c:\Dev\gateway-web-app\Client\src\comps\NewsSection\NewsSection.jsx", "JavaScript", 112, 0, 0, 0, 6, 9, 127
"c:\Dev\gateway-web-app\Client\src\comps\PrivateRoute.jsx", "JavaScript", 13, 0, 0, 0, 4, 6, 23
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ConfirmDetails.jsx", "JavaScript", 125, 0, 0, 0, 15, 17, 157
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\CourseForm.jsx", "JavaScript", 28, 0, 0, 0, 1, 5, 34
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\Modal.css", "CSS", 0, 60, 0, 0, 4, 7, 71
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\Modal.jsx", "JavaScript", 10, 0, 0, 0, 1, 3, 14
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProfileInformation.jsx", "JavaScript", 251, 0, 0, 0, 9, 15, 275
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProgressIndicator.css", "CSS", 0, 50, 0, 0, 33, 8, 91
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProgressIndicator.jsx", "JavaScript", 38, 0, 0, 0, 6, 6, 50
